Voltage(V), Voltage from Resistor(V), Resistor Resistance (Ω)
1.501,0.53,6.5
3.002,0.855,6.5
4.5,1.047,6.5
6.0,1.178,6.5
7.5,1.282,6.5
9.0,1.375,6.5
10.5,1.461,6.5
12.0,1.545,6.5
13.5,1.625,6.5
15.0,1.704,6.5
16.5,1.781,6.5
18.0,1.857,6.5
19.5,1.93,6.5
21.0,2.003,6.5
22.5,2.073,6.5
24.0,2.141,6.5
25.5,2.209,6.5
27.0,2.276,6.5
28.5,2.342,6.5
30.0,2.407,6.5
31.5,2.471,6.5
33.0,2.533,6.5
34.5,2.595,6.5
36.0,2.656,6.5
37.5,2.716,6.5
39.0,2.775,6.5
40.5,2.833,6.5
42,2.891,6.5
43.5,2.946,6.5
45,3.001,6.5
46.5,3.058,6.5
48,3.114,6.5
49.5,3.167,6.5
51,3.218,6.5
52.5,3.269,6.5
54,3.322,6.5
55.5,3.374,6.5
57,3.422,6.5
58.5,3.473,6.5
60,3.524,6.5
61.5,3.57,6.5
63,3.619,6.5
64.5,3.667,6.5
66,3.715,6.5
67.5,3.761,6.5
69,3.808,6.5
70.5,3.852,6.5
73.0,3.93,6.5
74.5,3.974,6.5
76,4.018,6.5
77.5,4.063,6.5
79,4.11,6.5
80.5,4.15,6.5
83,4.22,6.5
84.5,4.26,6.5
86,4.31,6.5
87.5,4.35,6.5
89,4.39,6.5
90.5,4.43,6.5
92,4.47,6.5
93.5,4.51,6.5
95,4.55,6.5
96.5,4.59,6.5
98,4.63,6.5
99.5,4.67,6.5
101,4.71,6.5
102.5,4.75,6.5
104,4.79,6.5
105.5,4.82,6.5
107,4.86,6.5
108.5,4.9,6.5
110,4.94,6.5
111.5,4.97,6.5
113,5.01,6.5
114.5,5.05,6.5
116,5.08,6.5
117.5,5.12,6.5
119,5.16,6.5
120.5,5.19,6.5
122,5.23,6.5
123.5,5.26,6.5
125,5.3,6.5
126.5,5.34,6.5
128,5.37,6.5
129.5,5.41,6.5
131,5.44,6.5
132.5,5.48,6.5
134,5.51,6.5
135.5,5.55,6.5
136.9,5.58,6.5
