Voltage(V), Current(A)
0.172,0.018
0.25,0.026
0.5,0.048
0.751,0.069
0.993,0.082
1.252,0.099
1.5,0.111
1.779,0.122
1.998,0.128
3.001,0.154
3.206,0.16
3.609,0.168
4,0.172
5,0.188
6,0.199
7,0.209
8,0.219
9,0.228
10,0.238
11,0.247
12,0.256
13,0.264
14,0.273
15,0.281
16,0.289
17,0.298
18,0.306
19,0.313
20,0.321
21,0.329
22,0.336
23,0.344
24,0.351
25,0.359
26,0.366
27,0.373
28,0.38
29,0.387
30,0.394
31,0.4
32,0.407
33,0.413
34,0.42
35,0.426
36,0.433
37,0.439
38,0.445
39,0.452
40,0.457
43,0.475
45.5,0.49
48,0.504
50.5,0.518
53,0.532
55.5,0.546
58,0.559
60.5,0.572
63,0.584
65.5,0.597
68,0.609
70.5,0.621
73,0.633
75.5,0.645
78,0.656
80.5,0.667
83,0.679
85.5,0.69
88,0.7
90.5,0.712
93,0.722
95.5,0.732
98,0.743
100.5,0.753
103,0.763
105.5,0.773
108,0.783
110.5,0.793
113,0.803
115.5,0.813
118,0.822
120.5,0.832
123,0.841
125.5,0.851
128,0.86
130.5,0.869
133,0.878
135.5,0.887
136.9,0.892
