frequency(Hz),Vi(V),Vo(V),R1,R2,Phase(s)
1.425E3,2.5,13.2,10E3,100,168E-6
4.3E3,2.5,4.8,10E3,100,60E-6
10.14E3,2.8,2.7,10E3,100,23E-6
13.3E3,2.16, 1.6,10E3,100,19.5E-6
24.1E3,10.2,3.4,10E3,100,10.5E-6
2.337E3, 3.45, 11.9,10E3,100, 109E-6
430,450E-3, 7.8, 10E3,100,570E-6
250,470E-3,12.9,10E3,100,960E-6
33E3,10.6,2.5,10E3,90.3,7.8E-6
42.7E3,10.6, 1.8,10E3,90.3,5.4E-6
39, 5.1, 10.2, 1E6, 90.3, 4.7E-3
186E3,10.6,430E-3,10E3,90.3,1.24E-6
130E3,10.4,0.68,10E3,90.3,1.82E-6
86E3,10.6,0.88,10E3,90.3,2.85E-6
